sample_id,time,line_id,line_name,station_id,nearest_boarding_station,destination_station,current_location,walk_distance_m,inflow_30m,outflow_30m,weather,temperature,headway,online_vehicle,total_vehicle,is_peak,scenic_name,scenic_type,scenic_intensity,advice_intent,crowding_adjusted,congestion_adjusted,seat_pressure,boarding_convenience,advice_level,recommended_action,user_question,assistant_answer
TA00136,2024-04-07 17:40:00,31f975ac1fa38166b5ca3eb552503516,206路,8cdb08e54ac324ab4a3aab6111b88270,泽胜温泉城（西门）,罗家花园,泽胜温泉城（西门）对面天桥下约515米,515,49,32,晴,9.1,9.7,11,14,1,白鹤梁,文化景区,0.239,雨天出行,0.549,0.663,0.538,0.356,普通,常态候车,我刚到泽胜温泉城（西门）对面天桥下约515米附近，准备回罗家花园，坐206路的话要等很久吗？,"您好！从泽胜温泉城（西门）对面天桥下约515米前往罗家花园，目前正值高峰时段，周边道路和客流压力较大。

目前206路的车厢拥挤度在 55% 左右，道路拥堵指数 66%。

💡 **综合建议**：整体路况和客流处于常态水平，您可以按原计划步行前往站点正常候车。建议通过App留意车辆到站预估时间。"
TA00137,2024-04-07 13:06:00,9ec58d2a5da942dc4a73dd5e0e5440c2,108路,4f2375ed5c0e099e70dd1442883dc302,杨树新村菜市场,万达停车场,杨树新村菜市场对面天桥下约519米,519,92,73,阴,21.4,13.0,11,14,1,白鹤梁,文化景区,0.245,换乘规划,0.865,0.544,0.682,0.351,强提醒,避让/错峰,请帮我判断下，现在从杨树新村菜市场对面天桥下约519米去万达停车场，推荐按原计划等车还是换个方案？,"您好！从杨树新村菜市场对面天桥下约519米前往万达停车场，目前正值高峰时段，周边道路和客流压力较大。

目前108路的车厢拥挤度在 86% 左右，道路拥堵指数 54%。

💡 **综合建议**：车厢目前非常拥挤且路况不佳，等候时间较长。建议您在室内稍作休息错开当前高峰，或者考虑打车/骑行等其他交通方式。"
TA00138,2024-04-07 14:48:00,32212c3bf4ceeaf6d20f1e147a0729c0,111路,203551cf89d7fa9fd6b1028e4e037aa8,南门山（八角井）,蒿枝坝,南门山（八角井）北侧路口约144米,144,55,36,晴,17.3,10.1,14,14,1,人武部换乘口,换乘热点,0.473,通勤出行,0.852,0.716,0.708,0.82,强提醒,避让/错峰,我现在在南门山（八角井）北侧路口约144米，要去蒿枝坝，走过去坐111路合适吗？,"您好！从南门山（八角井）北侧路口约144米前往蒿枝坝，目前正值高峰时段，周边道路和客流压力较大。

目前111路的车厢拥挤度在 85% 左右，道路拥堵指数 72%。

💡 **综合建议**：车厢目前非常拥挤且路况不佳，等候时间较长。建议您在室内稍作休息错开当前高峰，或者考虑打车/骑行等其他交通方式。"
TA00139,2024-04-07 15:15:00,8a4d70b6fab532acf71a70c6d76b4e15,105路,0747da93e8e62e0df6b0fe4a6e92f78e,图书馆,奥体中心,图书馆商圈附近约223米,223,65,26,多云,6.8,8.3,22,22,1,江东滨江带,滨江休闲,0.761,晚高峰回家,0.947,0.841,0.781,0.721,强提醒,避让/错峰,我现在在图书馆商圈附近约223米，要去奥体中心，走过去坐105路合适吗？,"您好！从图书馆商圈附近约223米前往奥体中心，目前正值高峰时段，周边道路和客流压力较大。

目前105路的车厢拥挤度在 95% 左右，道路拥堵指数 84%。另外，受江东滨江带滨江休闲影响，途经该区域可能会有客流聚集。

💡 **综合建议**：车厢目前非常拥挤且路况不佳，等候时间较长。建议您在室内稍作休息错开当前高峰，或者考虑打车/骑行等其他交通方式。"
TA00140,2024-04-07 12:29:00,14cb7122f64146b02a21c2c791af904d,102路,c168834e7938208f9b8b7137ba4db325,泽胜温泉城,易家坝,泽胜温泉城北侧路口约258米,258,42,22,小雨,33.7,11.8,20,20,1,图书馆文化区,文教热点,0.296,换乘规划,0.986,0.741,0.794,0.677,强提醒,避让/错峰,我现在在泽胜温泉城北侧路口约258米，要去易家坝，走过去坐102路合适吗？,"您好！从泽胜温泉城北侧路口约258米前往易家坝，目前正值高峰时段，周边道路和客流压力较大。

目前102路的车厢拥挤度在 99% 左右，道路拥堵指数 74%。

💡 **综合建议**：车厢目前非常拥挤且路况不佳，等候时间较长。建议您在室内稍作休息错开当前高峰，或者考虑打车/骑行等其他交通方式。"
TA00141,2024-04-07 12:47:00,f19c1de7e49ae3d4dfb6555402f995bb,112路,c168834e7938208f9b8b7137ba4db325,泽胜温泉城,邮政局,泽胜温泉城商圈附近约348米,348,38,28,晴,15.3,8.2,14,17,1,图书馆文化区,文教热点,0.235,通勤出行,0.653,0.525,0.539,0.565,普通,常态候车,请帮我判断下，现在从泽胜温泉城商圈附近约348米去邮政局，推荐按原计划等车还是换个方案？,"您好！从泽胜温泉城商圈附近约348米前往邮政局，目前正值高峰时段，周边道路和客流压力较大。

目前112路的车厢拥挤度在 65% 左右，道路拥堵指数 52%。

💡 **综合建议**：整体路况和客流处于常态水平，您可以按原计划步行前往站点正常候车。建议通过App留意车辆到站预估时间。"
TA00142,2024-04-07 23:40:00,14cb7122f64146b02a21c2c791af904d,102路,4f2375ed5c0e099e70dd1442883dc302,杨树新村菜市场,人武部,杨树新村菜市场对面天桥下约140米,140,77,26,小雨,19.7,10.7,20,20,1,白鹤梁,文化景区,0.642,雨天出行,0.869,0.868,0.766,0.825,强提醒,避让/错峰,我刚到杨树新村菜市场对面天桥下约140米附近，准备回人武部，坐102路的话要等很久吗？,"您好！从杨树新村菜市场对面天桥下约140米前往人武部，目前正值高峰时段，周边道路和客流压力较大。

目前102路的车厢拥挤度在 87% 左右，道路拥堵指数 87%。

💡 **综合建议**：车厢目前非常拥挤且路况不佳，等候时间较长。建议您在室内稍作休息错开当前高峰，或者考虑打车/骑行等其他交通方式。"
TA00143,2024-04-07 07:54:00,0579abf0fa4403b90a190dbaea38636c,127路,c32bcb4645490e5d7200359302437cd3,实验中学,公安局,实验中学公交港湾约132米,132,35,17,小雨,26.9,10.8,16,19,1,白鹤梁,文化景区,0.886,景区避堵,0.827,0.681,0.69,0.835,普通,常态候车,结合现在的天气和附近客流，从实验中学公交港湾约132米去公安局怎么走最稳妥？,"您好！从实验中学公交港湾约132米前往公安局，目前正值高峰时段，周边道路和客流压力较大。

目前127路的车厢拥挤度在 83% 左右，道路拥堵指数 68%。另外，受白鹤梁文化景区影响，途经该区域可能会有客流聚集。

💡 **综合建议**：整体路况和客流处于常态水平，您可以按原计划步行前往站点正常候车。建议通过App留意车辆到站预估时间。"
TA00144,2024-04-07 20:32:00,0579abf0fa4403b90a190dbaea38636c,127路,92aaf0a5a4f504eff43f8c80520d8bac,行政服务中心,四环明珠,行政服务中心商圈附近约706米,706,356,238,大雨,26.3,29.2,16,19,0,高笋塘步行区,商圈客流,0.756,通勤出行,0.99,0.99,0.987,0.118,强提醒,避让/错峰,请帮我判断下，现在从行政服务中心商圈附近约706米去四环明珠，推荐按原计划等车还是换个方案？,"您好！从行政服务中心商圈附近约706米前往四环明珠，当前外面是大雨，距离行政服务中心站还有706米步行路程，请务必备好雨具注意安全。

目前127路的车厢拥挤度在 99% 左右，道路拥堵指数 99%。受路况影响，预计当前发车间隔较长（约 29.2 分钟）。另外，受高笋塘步行区商圈客流影响，途经该区域可能会有客流聚集。

💡 **综合建议**：车厢目前非常拥挤且路况不佳，等候时间较长。建议您在室内稍作休息错开当前高峰，或者考虑打车/骑行等其他交通方式。"
TA00145,2024-04-07 16:30:00,9ec58d2a5da942dc4a73dd5e0e5440c2,108路,645a8797153929d233753577c0a2759f,洗墨路口,高山湾枢纽站,洗墨路口东侧约796米,796,39,29,阴,21.7,11.3,10,14,1,行政服务中心,政务集散,0.288,景区避堵,0.689,0.713,0.634,0.1,普通,常态候车,我现在在洗墨路口东侧约796米，要去高山湾枢纽站，走过去坐108路合适吗？,"您好！从洗墨路口东侧约796米前往高山湾枢纽站，目前正值高峰时段，周边道路和客流压力较大。

目前108路的车厢拥挤度在 69% 左右，道路拥堵指数 71%。

💡 **综合建议**：整体路况和客流处于常态水平，您可以按原计划步行前往站点正常候车。建议通过App留意车辆到站预估时间。"
TA00146,2024-04-07 12:30:00,8a4d70b6fab532acf71a70c6d76b4e15,105路,92aaf0a5a4f504eff43f8c80520d8bac,行政服务中心,中天广场,行政服务中心公交港湾约741米,741,191,150,小雨,12.3,12.3,17,22,0,高笋塘步行区,商圈客流,0.786,景区避堵,0.904,0.663,0.733,0.1,强提醒,避让/错峰,我现在在行政服务中心公交港湾约741米，要去中天广场，走过去坐105路合适吗？,"您好！从行政服务中心公交港湾约741米前往中天广场，当前外面是小雨，距离行政服务中心站还有741米步行路程，请务必备好雨具注意安全。

目前105路的车厢拥挤度在 90% 左右，道路拥堵指数 66%。另外，受高笋塘步行区商圈客流影响，途经该区域可能会有客流聚集。

💡 **综合建议**：车厢目前非常拥挤且路况不佳，等候时间较长。建议您在室内稍作休息错开当前高峰，或者考虑打车/骑行等其他交通方式。"
TA00147,2024-04-07 16:22:00,2784f60394214283364aa4321717a939,104路,4f2375ed5c0e099e70dd1442883dc302,杨树新村菜市场,十八中,杨树新村菜市场东侧约707米,707,25,15,晴,10.6,9.3,11,14,1,行政服务中心,政务集散,0.622,通勤出行,0.729,0.695,0.635,0.116,普通,常态候车,结合现在的天气和附近客流，从杨树新村菜市场东侧约707米去十八中怎么走最稳妥？,"您好！从杨树新村菜市场东侧约707米前往十八中，目前正值高峰时段，周边道路和客流压力较大。

目前104路的车厢拥挤度在 73% 左右，道路拥堵指数 70%。

💡 **综合建议**：整体路况和客流处于常态水平，您可以按原计划步行前往站点正常候车。建议通过App留意车辆到站预估时间。"
TA00148,2024-04-07 09:49:00,2784f60394214283364aa4321717a939,104路,36732c5dac7ae2d281967a6544f8eff1,洗墨路口,黎明路口,洗墨路口商圈附近约794米,794,68,15,小雨,20.7,9.6,14,14,1,实验中学考点周边,高峰集散,0.422,景区避堵,0.889,0.81,0.751,0.1,强提醒,避让/错峰,我现在在洗墨路口商圈附近约794米，要去黎明路口，走过去坐104路合适吗？,"您好！从洗墨路口商圈附近约794米前往黎明路口，当前外面是小雨，距离洗墨路口站还有794米步行路程，请务必备好雨具注意安全。

目前104路的车厢拥挤度在 89% 左右，道路拥堵指数 81%。

💡 **综合建议**：车厢目前非常拥挤且路况不佳，等候时间较长。建议您在室内稍作休息错开当前高峰，或者考虑打车/骑行等其他交通方式。"
TA00149,2024-04-07 13:21:00,f19c1de7e49ae3d4dfb6555402f995bb,112路,4847a31e8e4b56724a442bed9b002c43,森林公园,泽胜温泉城（西门）,森林公园公交港湾约410米,410,120,51,阴,19.5,9.5,12,17,0,江东滨江带,滨江休闲,0.67,通勤出行,0.867,0.584,0.672,0.488,强提醒,避让/错峰,结合现在的天气和附近客流，从森林公园公交港湾约410米去泽胜温泉城（西门）怎么走最稳妥？,"您好！从森林公园公交港湾约410米前往泽胜温泉城（西门），距离上车点森林公园约410米，走过去很近。

目前112路的车厢拥挤度在 87% 左右，道路拥堵指数 58%。

💡 **综合建议**：车厢目前非常拥挤且路况不佳，等候时间较长。建议您在室内稍作休息错开当前高峰，或者考虑打车/骑行等其他交通方式。"
TA00150,2024-04-07 13:48:00,8a4d70b6fab532acf71a70c6d76b4e15,105路,fe24e7558457ffb3668f9b88e6746382,奥体中心,客运中心,奥体中心公交港湾约360米,360,49,38,多云,30.9,9.4,19,22,1,宏声桥商圈,商圈客流,0.851,通勤出行,0.761,0.767,0.673,0.55,普通,常态候车,外面天气感觉一般，我从奥体中心公交港湾约360米出发去客运中心，帮我看看路况和车上挤不挤。,"您好！从奥体中心公交港湾约360米前往客运中心，目前正值高峰时段，周边道路和客流压力较大。

目前105路的车厢拥挤度在 76% 左右，道路拥堵指数 77%。另外，受宏声桥商圈商圈客流影响，途经该区域可能会有客流聚集。

💡 **综合建议**：整体路况和客流处于常态水平，您可以按原计划步行前往站点正常候车。建议通过App留意车辆到站预估时间。"
TA00151,2024-04-07 12:47:00,2784f60394214283364aa4321717a939,104路,d78c756ab6b09b5e32c3a9489970b6a7,人民医院,森林公园,人民医院对面天桥下约326米,326,13,4,多云,32.7,28.1,10,14,0,宏声桥商圈,商圈客流,0.43,换乘规划,0.386,0.956,0.667,0.593,强提醒,避让/错峰,我现在在人民医院对面天桥下约326米，要去森林公园，走过去坐104路合适吗？,"您好！从人民医院对面天桥下约326米前往森林公园，距离上车点人民医院约326米，走过去很近。

目前104路的车厢拥挤度在 39% 左右，道路拥堵指数 96%。受路况影响，预计当前发车间隔较长（约 28.1 分钟）。

💡 **综合建议**：车厢目前非常拥挤且路况不佳，等候时间较长。建议您在室内稍作休息错开当前高峰，或者考虑打车/骑行等其他交通方式。"
TA00152,2024-04-07 06:49:00,f159e13439ea9fe0f8ac7fbc9ba83599,204路,544def4a48190c41c3d652d624d0946d,步阳路口,泽胜温泉城（西门）,步阳路口对面天桥下约409米,409,41,12,阴,26.1,10.3,8,8,1,宏声桥商圈,商圈客流,0.433,换乘规划,0.92,0.722,0.745,0.489,强提醒,避让/错峰,请帮我判断下，现在从步阳路口对面天桥下约409米去泽胜温泉城（西门），推荐按原计划等车还是换个方案？,"您好！从步阳路口对面天桥下约409米前往泽胜温泉城（西门），目前正值高峰时段，周边道路和客流压力较大。

目前204路的车厢拥挤度在 92% 左右，道路拥堵指数 72%。

💡 **综合建议**：车厢目前非常拥挤且路况不佳，等候时间较长。建议您在室内稍作休息错开当前高峰，或者考虑打车/骑行等其他交通方式。"
TA00153,2024-04-07 23:30:00,2784f60394214283364aa4321717a939,104路,eaa33713ea5567ae15d489abd052d999,公安局,大修厂,公安局对面天桥下约173米,173,13,10,多云,10.1,20.5,9,14,0,实验中学考点周边,高峰集散,0.362,晚高峰回家,0.556,0.99,0.712,0.784,强提醒,避让/错峰,结合现在的天气和附近客流，从公安局对面天桥下约173米去大修厂怎么走最稳妥？,"您好！从公安局对面天桥下约173米前往大修厂，距离上车点公安局约173米，走过去很近。

目前104路的车厢拥挤度在 56% 左右，道路拥堵指数 99%。受路况影响，预计当前发车间隔较长（约 20.5 分钟）。

💡 **综合建议**：车厢目前非常拥挤且路况不佳，等候时间较长。建议您在室内稍作休息错开当前高峰，或者考虑打车/骑行等其他交通方式。"
TA00154,2024-04-07 21:23:00,21c4fd80af0c3078a9bd828c0a66a048,202路,566b03152a15562132d0e21811e08915,中天广场,高山湾枢纽站,中天广场东侧约434米,434,93,45,小雨,10.6,8.8,19,19,1,白鹤梁,文化景区,0.682,景区避堵,0.99,0.891,0.821,0.458,强提醒,避让/错峰,结合现在的天气和附近客流，从中天广场东侧约434米去高山湾枢纽站怎么走最稳妥？,"您好！从中天广场东侧约434米前往高山湾枢纽站，当前外面是小雨，距离中天广场站还有434米步行路程，请务必备好雨具注意安全。

目前202路的车厢拥挤度在 99% 左右，道路拥堵指数 89%。

💡 **综合建议**：车厢目前非常拥挤且路况不佳，等候时间较长。建议您在室内稍作休息错开当前高峰，或者考虑打车/骑行等其他交通方式。"
TA00155,2024-04-07 18:12:00,32212c3bf4ceeaf6d20f1e147a0729c0,111路,566b03152a15562132d0e21811e08915,中天广场,杨树新村菜市场,中天广场北侧路口约593米,593,31,21,多云,12.7,10.1,10,14,1,白鹤梁,文化景区,0.784,景区避堵,0.627,0.647,0.575,0.259,普通,常态候车,结合现在的天气和附近客流，从中天广场北侧路口约593米去杨树新村菜市场怎么走最稳妥？,"您好！从中天广场北侧路口约593米前往杨树新村菜市场，目前正值高峰时段，周边道路和客流压力较大。

目前111路的车厢拥挤度在 63% 左右，道路拥堵指数 65%。另外，受白鹤梁文化景区影响，途经该区域可能会有客流聚集。

💡 **综合建议**：整体路况和客流处于常态水平，您可以按原计划步行前往站点正常候车。建议通过App留意车辆到站预估时间。"
TA00156,2024-04-07 12:00:00,32212c3bf4ceeaf6d20f1e147a0729c0,111路,908495d0e3b05ab3a38965a3e96387aa,黎明路口,水务局,黎明路口公交港湾约723米,723,55,12,小雨,10.5,10.0,14,14,1,实验中学考点周边,高峰集散,0.599,景区避堵,0.98,0.929,0.835,0.1,强提醒,避让/错峰,请帮我判断下，现在从黎明路口公交港湾约723米去水务局，推荐按原计划等车还是换个方案？,"您好！从黎明路口公交港湾约723米前往水务局，当前外面是小雨，距离黎明路口站还有723米步行路程，请务必备好雨具注意安全。

目前111路的车厢拥挤度在 98% 左右，道路拥堵指数 93%。

💡 **综合建议**：车厢目前非常拥挤且路况不佳，等候时间较长。建议您在室内稍作休息错开当前高峰，或者考虑打车/骑行等其他交通方式。"
TA00157,2024-04-07 11:15:00,21c4fd80af0c3078a9bd828c0a66a048,202路,7d4fdf0708e29f37faf86899e40aa413,桥南第一村,行政服务中心,桥南第一村商圈附近约725米,725,64,24,晴,14.1,10.7,16,19,1,图书馆文化区,文教热点,0.325,雨天出行,0.795,0.71,0.682,0.1,普通,常态候车,外面天气感觉一般，我从桥南第一村商圈附近约725米出发去行政服务中心，帮我看看路况和车上挤不挤。,"您好！从桥南第一村商圈附近约725米前往行政服务中心，目前正值高峰时段，周边道路和客流压力较大。

目前202路的车厢拥挤度在 80% 左右，道路拥堵指数 71%。

💡 **综合建议**：整体路况和客流处于常态水平，您可以按原计划步行前往站点正常候车。建议通过App留意车辆到站预估时间。"
TA00158,2024-04-07 15:32:00,c2b333726a91ce0fb6190c8e428177d5,101路,f58fe448b66fd52a6b7a091f09054ebf,杨家花园,大塘路口,杨家花园北侧路口约466米,466,60,26,晴,8.7,10.8,19,19,1,白鹤梁,文化景区,0.418,景区避堵,0.821,0.739,0.704,0.417,普通,常态候车,请帮我判断下，现在从杨家花园北侧路口约466米去大塘路口，推荐按原计划等车还是换个方案？,"您好！从杨家花园北侧路口约466米前往大塘路口，目前正值高峰时段，周边道路和客流压力较大。

目前101路的车厢拥挤度在 82% 左右，道路拥堵指数 74%。

💡 **综合建议**：整体路况和客流处于常态水平，您可以按原计划步行前往站点正常候车。建议通过App留意车辆到站预估时间。"
TA00159,2024-04-07 12:00:00,32212c3bf4ceeaf6d20f1e147a0729c0,111路,908495d0e3b05ab3a38965a3e96387aa,黎明路口,电信局,黎明路口北侧路口约641米,641,55,12,小雨,10.5,10.0,14,14,1,白鹤梁,文化景区,0.357,通勤出行,0.98,0.91,0.83,0.199,强提醒,避让/错峰,结合现在的天气和附近客流，从黎明路口北侧路口约641米去电信局怎么走最稳妥？,"您好！从黎明路口北侧路口约641米前往电信局，当前外面是小雨，距离黎明路口站还有641米步行路程，请务必备好雨具注意安全。

目前111路的车厢拥挤度在 98% 左右，道路拥堵指数 91%。

💡 **综合建议**：车厢目前非常拥挤且路况不佳，等候时间较长。建议您在室内稍作休息错开当前高峰，或者考虑打车/骑行等其他交通方式。"
TA00160,2024-04-07 22:34:00,31f975ac1fa38166b5ca3eb552503516,206路,4847a31e8e4b56724a442bed9b002c43,森林公园,兴华花园,森林公园东侧约263米,263,52,25,阴,9.0,10.5,14,14,1,实验中学考点周边,高峰集散,0.739,换乘规划,0.838,0.856,0.746,0.671,强提醒,避让/错峰,外面天气感觉一般，我从森林公园东侧约263米出发去兴华花园，帮我看看路况和车上挤不挤。,"您好！从森林公园东侧约263米前往兴华花园，目前正值高峰时段，周边道路和客流压力较大。

目前206路的车厢拥挤度在 84% 左右，道路拥堵指数 86%。另外，受实验中学考点周边高峰集散影响，途经该区域可能会有客流聚集。

💡 **综合建议**：车厢目前非常拥挤且路况不佳，等候时间较长。建议您在室内稍作休息错开当前高峰，或者考虑打车/骑行等其他交通方式。"
TA00161,2024-04-07 06:49:00,2784f60394214283364aa4321717a939,104路,051a82a74a8537f06128610f13bea5f4,群安路口,中天广场,群安路口东侧约373米,373,25,6,晴,17.8,11.0,10,14,1,实验中学考点周边,高峰集散,0.324,景区避堵,0.676,0.704,0.623,0.534,普通,常态候车,我现在在群安路口东侧约373米，要去中天广场，走过去坐104路合适吗？,"您好！从群安路口东侧约373米前往中天广场，目前正值高峰时段，周边道路和客流压力较大。

目前104路的车厢拥挤度在 68% 左右，道路拥堵指数 70%。

💡 **综合建议**：整体路况和客流处于常态水平，您可以按原计划步行前往站点正常候车。建议通过App留意车辆到站预估时间。"
TA00162,2024-04-07 23:33:00,32212c3bf4ceeaf6d20f1e147a0729c0,111路,77e5c0b74c44c9c243d16961e8a5cbda,大修厂,公安局,大修厂东侧约496米,496,37,17,多云,15.0,8.5,10,14,1,实验中学考点周边,高峰集散,0.45,景区避堵,0.68,0.584,0.572,0.38,普通,常态候车,我现在在大修厂东侧约496米，要去公安局，走过去坐111路合适吗？,"您好！从大修厂东侧约496米前往公安局，目前正值高峰时段，周边道路和客流压力较大。

目前111路的车厢拥挤度在 68% 左右，道路拥堵指数 58%。

💡 **综合建议**：整体路况和客流处于常态水平，您可以按原计划步行前往站点正常候车。建议通过App留意车辆到站预估时间。"
TA00163,2024-04-07 13:36:00,9ec58d2a5da942dc4a73dd5e0e5440c2,108路,8cdb08e54ac324ab4a3aab6111b88270,泽胜温泉城（西门）,步阳路口,泽胜温泉城（西门）对面天桥下约661米,661,28,16,阴,33.9,10.8,10,14,1,实验中学考点周边,高峰集散,0.629,通勤出行,0.682,0.708,0.625,0.174,普通,常态候车,我刚到泽胜温泉城（西门）对面天桥下约661米附近，准备回步阳路口，坐108路的话要等很久吗？,"您好！从泽胜温泉城（西门）对面天桥下约661米前往步阳路口，目前正值高峰时段，周边道路和客流压力较大。

目前108路的车厢拥挤度在 68% 左右，道路拥堵指数 71%。

💡 **综合建议**：整体路况和客流处于常态水平，您可以按原计划步行前往站点正常候车。建议通过App留意车辆到站预估时间。"
TA00164,2024-04-07 16:43:00,9ec58d2a5da942dc4a73dd5e0e5440c2,108路,21005f637bb21f043583d75ba127a3c2,兴华花园,电信局,兴华花园东侧约608米,608,9,2,多云,15.0,21.9,11,14,0,宏声桥商圈,商圈客流,0.641,景区避堵,0.482,0.99,0.684,0.24,强提醒,避让/错峰,我刚到兴华花园东侧约608米附近，准备回电信局，坐108路的话要等很久吗？,"您好！从兴华花园东侧约608米前往电信局，距离上车点兴华花园约608米，走过去很近。

目前108路的车厢拥挤度在 48% 左右，道路拥堵指数 99%。受路况影响，预计当前发车间隔较长（约 21.9 分钟）。

💡 **综合建议**：车厢目前非常拥挤且路况不佳，等候时间较长。建议您在室内稍作休息错开当前高峰，或者考虑打车/骑行等其他交通方式。"
TA00165,2024-04-07 06:23:00,14cb7122f64146b02a21c2c791af904d,102路,16f2fe2ff2b9cfc296f58e44ff01bb00,金帝服装厂,桥南新苑,金帝服装厂公交港湾约386米,386,29,6,阴,29.8,11.8,14,20,1,实验中学考点周边,高峰集散,0.337,换乘规划,0.602,0.769,0.61,0.518,普通,常态候车,结合现在的天气和附近客流，从金帝服装厂公交港湾约386米去桥南新苑怎么走最稳妥？,"您好！从金帝服装厂公交港湾约386米前往桥南新苑，目前正值高峰时段，周边道路和客流压力较大。

目前102路的车厢拥挤度在 60% 左右，道路拥堵指数 77%。

💡 **综合建议**：整体路况和客流处于常态水平，您可以按原计划步行前往站点正常候车。建议通过App留意车辆到站预估时间。"
TA00166,2024-04-07 09:47:00,f159e13439ea9fe0f8ac7fbc9ba83599,204路,34a208df009da83091ee5c7786f9a127,十八中,沙溪温泉,十八中商圈附近约462米,462,32,23,阴,19.3,10.2,6,8,1,宏声桥商圈,商圈客流,0.455,晚高峰回家,0.59,0.615,0.548,0.422,普通,常态候车,我刚到十八中商圈附近约462米附近，准备回沙溪温泉，坐204路的话要等很久吗？,"您好！从十八中商圈附近约462米前往沙溪温泉，目前正值高峰时段，周边道路和客流压力较大。

目前204路的车厢拥挤度在 59% 左右，道路拥堵指数 62%。

💡 **综合建议**：整体路况和客流处于常态水平，您可以按原计划步行前往站点正常候车。建议通过App留意车辆到站预估时间。"
TA00167,2024-04-07 19:14:00,14cb7122f64146b02a21c2c791af904d,102路,051a82a74a8537f06128610f13bea5f4,群安路口,南门山（国美）,群安路口对面天桥下约536米,536,24,12,小雨,33.3,9.8,15,20,1,高笋塘步行区,商圈客流,0.595,景区避堵,0.61,0.803,0.611,0.33,普通,常态候车,结合现在的天气和附近客流，从群安路口对面天桥下约536米去南门山（国美）怎么走最稳妥？,"您好！从群安路口对面天桥下约536米前往南门山（国美），当前外面是小雨，距离群安路口站还有536米步行路程，请务必备好雨具注意安全。

目前102路的车厢拥挤度在 61% 左右，道路拥堵指数 80%。

💡 **综合建议**：整体路况和客流处于常态水平，您可以按原计划步行前往站点正常候车。建议通过App留意车辆到站预估时间。"
TA00168,2024-04-07 10:34:00,9ec58d2a5da942dc4a73dd5e0e5440c2,108路,fcc535d2cd655625e8835c6f4a092573,罗家花园,奥体中心,罗家花园东侧约544米,544,51,38,多云,25.0,9.6,10,14,1,实验中学考点周边,高峰集散,0.265,景区避堵,0.657,0.697,0.602,0.32,普通,常态候车,结合现在的天气和附近客流，从罗家花园东侧约544米去奥体中心怎么走最稳妥？,"您好！从罗家花园东侧约544米前往奥体中心，目前正值高峰时段，周边道路和客流压力较大。

目前108路的车厢拥挤度在 66% 左右，道路拥堵指数 70%。

💡 **综合建议**：整体路况和客流处于常态水平，您可以按原计划步行前往站点正常候车。建议通过App留意车辆到站预估时间。"
TA00169,2024-04-07 15:34:00,f159e13439ea9fe0f8ac7fbc9ba83599,204路,e7b6a327e08cfeb33da00b35223b9f6d,泽胜温泉城（西门）,十五中,泽胜温泉城（西门）北侧路口约429米,429,167,46,雷阵雨,11.1,27.3,7,8,0,人武部换乘口,换乘热点,0.414,通勤出行,0.926,0.858,0.902,0.464,强提醒,避让/错峰,外面天气感觉一般，我从泽胜温泉城（西门）北侧路口约429米出发去十五中，帮我看看路况和车上挤不挤。,"您好！从泽胜温泉城（西门）北侧路口约429米前往十五中，距离上车点泽胜温泉城（西门）约429米，走过去很近。

目前204路的车厢拥挤度在 93% 左右，道路拥堵指数 86%。受路况影响，预计当前发车间隔较长（约 27.3 分钟）。

💡 **综合建议**：车厢目前非常拥挤且路况不佳，等候时间较长。建议您在室内稍作休息错开当前高峰，或者考虑打车/骑行等其他交通方式。"
TA00170,2024-04-07 23:32:00,21c4fd80af0c3078a9bd828c0a66a048,202路,92aaf0a5a4f504eff43f8c80520d8bac,行政服务中心,奥体中心,行政服务中心北侧路口约650米,650,12,5,晴,33.5,33.8,12,19,0,宏声桥商圈,商圈客流,0.682,雨天出行,0.511,0.967,0.745,0.188,强提醒,避让/错峰,外面天气感觉一般，我从行政服务中心北侧路口约650米出发去奥体中心，帮我看看路况和车上挤不挤。,"您好！从行政服务中心北侧路口约650米前往奥体中心，距离上车点行政服务中心约650米，走过去很近。

目前202路的车厢拥挤度在 51% 左右，道路拥堵指数 97%。受路况影响，预计当前发车间隔较长（约 33.8 分钟）。

💡 **综合建议**：车厢目前非常拥挤且路况不佳，等候时间较长。建议您在室内稍作休息错开当前高峰，或者考虑打车/骑行等其他交通方式。"
TA00171,2024-04-07 10:37:00,f159e13439ea9fe0f8ac7fbc9ba83599,204路,c32bcb4645490e5d7200359302437cd3,实验中学,城六校（乌江校区）,实验中学商圈附近约184米,184,63,32,小雨,23.4,11.9,8,8,1,高笋塘步行区,商圈客流,0.797,晚高峰回家,0.892,0.892,0.793,0.77,强提醒,避让/错峰,外面天气感觉一般，我从实验中学商圈附近约184米出发去城六校（乌江校区），帮我看看路况和车上挤不挤。,"您好！从实验中学商圈附近约184米前往城六校（乌江校区），目前正值高峰时段，周边道路和客流压力较大。

目前204路的车厢拥挤度在 89% 左右，道路拥堵指数 89%。另外，受高笋塘步行区商圈客流影响，途经该区域可能会有客流聚集。

💡 **综合建议**：车厢目前非常拥挤且路况不佳，等候时间较长。建议您在室内稍作休息错开当前高峰，或者考虑打车/骑行等其他交通方式。"
